spot_id,CAF,Endo,Macro,Malignant,NK,T
18x4,0.08297584,0.33453616,0.00050317316,0.054497514,0.046241432,0.48124585
18x5,0.033285275,0.25951922,0.011756418,0.007405826,0.2594936,0.4285397
18x6,0.0682056,0.32129714,0.00038870127,0.052297246,0.046938624,0.51087266
18x7,0.05813631,0.35463804,0.0015632003,0.02350865,0.13085078,0.431303
18x8,0.04036909,0.20064701,0.014390234,0.005672144,0.13622886,0.6026926
18x9,0.027274162,0.0016992007,0.26410735,0.4572855,0.005094145,0.24453974
18x10,0.028663749,0.012820126,0.15270212,0.50285506,0.0018111088,0.30114776
18x11,0.019348811,0.0015999076,0.26662508,0.3517668,0.009178724,0.35148066
18x12,0.029201109,0.002086686,0.33942688,0.30150267,0.0058479565,0.32193464
19x3,0.12127226,0.18475749,0.0017098866,0.006518438,0.25933346,0.4264086
19x4,0.026270647,0.44000846,0.0033169943,0.020498464,0.13305154,0.37685394
19x5,0.035121974,0.27702612,0.017815564,0.0036747921,0.22437118,0.44199038
19x6,0.1959001,0.19291309,0.0012328102,0.020635262,0.16834193,0.42097682
19x7,0.05422299,0.48370156,0.00018065421,0.14835541,0.076850966,0.23668848
19x8,0.04604573,0.16869082,5.1983193e-06,0.1994474,0.14777501,0.4380358
19x9,0.008727038,0.01721767,0.10800181,0.6352414,0.0012223392,0.22958975
19x10,0.0316215,0.008058529,0.48530772,0.21452276,0.0025168657,0.25797266
19x11,0.049262963,0.0033933627,0.2569184,0.43774295,0.00438833,0.24829398
19x13,0.027948925,0.004392187,0.22955097,0.40925014,0.0066051506,0.3222526
20x4,0.045065224,0.2977629,0.0057949442,0.0045497688,0.28131324,0.36551395
20x5,0.14617714,0.28828803,0.0007748382,0.016519157,0.19636123,0.3518796
20x6,0.0019921984,0.42413384,0.009259288,0.044830445,0.054601047,0.46518323
20x7,0.03655585,0.25835952,0.014746604,0.0060575022,0.17375572,0.5105248
20x8,0.0110764485,0.2005221,0.0046463152,0.028207617,0.2793534,0.47619417
20x9,0.016130527,0.0076560597,0.13325699,0.55308676,0.055376153,0.23449351
20x10,0.06434872,0.0031313708,0.120702356,0.52331907,0.006983156,0.2815154
20x12,0.036901265,0.00536926,0.37343147,0.2560538,0.0026854507,0.32555878
21x4,0.009304766,0.4338872,0.004486039,0.036508188,0.018699123,0.4971146
21x5,0.029973703,0.35386366,0.0005966092,0.03046311,0.26222205,0.32288092
21x6,0.017214736,0.40590194,0.0030174532,0.01993474,0.015445319,0.5384858
21x7,0.044947114,0.33129978,0.0005566222,0.072693735,0.061349146,0.4891535
21x8,0.00619562,0.4383786,0.008266796,0.030453272,0.051277585,0.46542814
21x10,0.027975429,0.014313504,0.16065063,0.42220676,0.014219838,0.36063388
21x11,0.0005485459,0.0372892,0.073695675,0.2646269,0.062315136,0.56152457
22x4,0.3984719,0.013147402,0.0017001512,0.43804452,0.10032312,0.04831291
22x5,0.044943105,0.43465686,0.0017857439,0.04021046,0.10005792,0.37834594
22x6,0.26290876,0.10569772,0.00014917908,0.09136449,0.09670295,0.4431769
22x7,0.017931309,0.28198102,0.00854875,0.008155422,0.23804373,0.44533977
22x8,0.072744094,0.34794295,0.0029250209,0.016880268,0.013815773,0.54569197
